Nome,Cozinha1,Cozinha2,Bairro,Almoco,Jantar,Menu
A Taberna,,,Candeal,"R$ 95,00","R$ 115,00",Premium
Casa Chálabi,,,Rio vermelho,"R$ 73,90","R$ 94,90",+Plus
Zaffe,Contemporânea,,Candeal,"R$ 73,90","R$ 94,90",+Plus
Casa de Moá,,,Capuchinhos,"R$ 73,90","R$ 94,90",+Plus
Al Mare - Salvador Shopping,Frutos do mar,,,"R$ 73,90","R$ 94,90",+Plus
Bella Napoli,Italiana,,Caminho das Árvores,,"R$ 115,00",Premium
Mariposa,Comfort Food,,Caminho das Árvores,"R$ 73,90","R$ 94,90",+Plus
Pecorino Bar & Trattoria - Salvador shopping,Italiana,,Caminho das Árvores,"R$ 73,90","R$ 94,90",+Plus
Ki-Mukeka - Salvador Shopping,Regional,,Caminho das Árvores,"R$ 95,00","R$ 115,00",Premium
A Taberna,,,Candeal,"R$ 95,00","R$ 115,00",Premium
Casa Chálabi,,,Rio vermelho,"R$ 73,90","R$ 94,90",+Plus
Zaffe,Contemporânea,,Candeal,"R$ 73,90","R$ 94,90",+Plus
Casa de Moá,,,Capuchinhos,"R$ 73,90","R$ 94,90",+Plus
Barbacoa - Salvador,Carnes e Grelhados,,Caminho das Árvores,,"R$ 115,00",Premium
Ferreiro Café - Salvador Shopping,Contemporânea, Internacional,,"R$ 73,90","R$ 94,90",+Plus
Gattai - Salvador Shopping,Japonesa,,,"R$ 73,90","R$ 94,90",+Plus
Azougue Carnes na Brasa - Salvador Shopping,Carnes e Grelhados,,Caminho das Árvores,,"R$ 115,00",Premium
Martim Pescador - Shopping da Bahia,Frutos do mar,,Caminho das Árvores,"R$ 73,90",,+Plus
Seven Wonders Café - Mundo Plaza,,,Caminho das Árvores,"R$ 59,90",,RW
Seven Wonders Café - Salvador Shopping,,,Caminho das Árvores,"R$ 59,90",,RW
Seven Wonders Café - Shopping da Bahia,,,Caminho das Árvores,"R$ 59,90",,RW
Bistro Casa Tua,,,Caminho das Árvores,"R$ 95,00",,Premium
Barbacoa - Salvador,Carnes e Grelhados,,Caminho das Árvores,,"R$ 115,00",Premium
Ferreiro Café - Salvador Shopping,Contemporânea, Internacional,,"R$ 73,90","R$ 94,90",+Plus
Gattai - Salvador Shopping,Japonesa,,,"R$ 73,90","R$ 94,90",+Plus
Azougue Carnes na Brasa - Salvador Shopping,Carnes e Grelhados,,Caminho das Árvores,,"R$ 115,00",Premium
Martim Pescador - Shopping da Bahia,Frutos do mar,,Caminho das Árvores,"R$ 73,90",,+Plus
Seven Wonders Café - Mundo Plaza,,,Caminho das Árvores,"R$ 59,90",,RW
Seven Wonders Café - Salvador Shopping,,,Caminho das Árvores,"R$ 59,90",,RW
Seven Wonders Café - Shopping da Bahia,,,Caminho das Árvores,"R$ 59,90",,RW
Bistro Casa Tua,,,Caminho das Árvores,"R$ 95,00",,Premium
Barbacoa - Salvador,Carnes e Grelhados,,Caminho das Árvores,,"R$ 115,00",Premium
Ferreiro Café - Salvador Shopping,Contemporânea, Internacional,,"R$ 73,90","R$ 94,90",+Plus
Gattai - Salvador Shopping,Japonesa,,,"R$ 73,90","R$ 94,90",+Plus
Azougue Carnes na Brasa - Salvador Shopping,Carnes e Grelhados,,Caminho das Árvores,,"R$ 115,00",Premium
Martim Pescador - Shopping da Bahia,Frutos do mar,,Caminho das Árvores,"R$ 73,90",,+Plus
Seven Wonders Café - Mundo Plaza,,,Caminho das Árvores,"R$ 59,90",,RW
Seven Wonders Café - Salvador Shopping,,,Caminho das Árvores,"R$ 59,90",,RW
Seven Wonders Café - Shopping da Bahia,,,Caminho das Árvores,"R$ 59,90",,RW
Bistro Casa Tua,,,Caminho das Árvores,"R$ 95,00",,Premium
Barbacoa - Salvador,Carnes e Grelhados,,Caminho das Árvores,,"R$ 115,00",Premium
Ferreiro Café - Salvador Shopping,Contemporânea, Internacional,,"R$ 73,90","R$ 94,90",+Plus
Gattai - Salvador Shopping,Japonesa,,,"R$ 73,90","R$ 94,90",+Plus
Azougue Carnes na Brasa - Salvador Shopping,Carnes e Grelhados,,Caminho das Árvores,,"R$ 115,00",Premium
Martim Pescador - Shopping da Bahia,Frutos do mar,,Caminho das Árvores,"R$ 73,90",,+Plus
Seven Wonders Café - Mundo Plaza,,,Caminho das Árvores,"R$ 59,90",,RW
Seven Wonders Café - Salvador Shopping,,,Caminho das Árvores,"R$ 59,90",,RW
Seven Wonders Café - Shopping da Bahia,,,Caminho das Árvores,"R$ 59,90",,RW
Bistro Casa Tua,,,Caminho das Árvores,"R$ 95,00",,Premium
33 Contemporâneo,Contemporânea,,,"R$ 95,00","R$ 115,00",Premium
Pereira Café - Shopping da Bahia,Contemporânea,,Caminho das Árvores,"R$ 59,90",,RW
Zuuk Sushi,Oriental, Tradicional,Caminho das Árvores,"R$ 95,00","R$ 115,00",Premium
Le Vin - Mercure Boulevard,Contemporânea,,Caminho das Árvores,"R$ 73,90","R$ 94,90",+Plus
Lotti Osteria,Italiana,,Caminho das Árvores,,"R$ 115,00",Premium
YAYA,Hamburgueria, Lanches,,"R$ 95,00","R$ 115,00",Premium
Mamma Jamma - Shopping da Bahia,,,Caminho das Árvores,"R$ 73,90",,+Plus
Seven Wonders Café - Suarez Trade,,,Caminho das Árvores,"R$ 59,90",,RW
Azougue - Salvador Norte Shopping,,,,,"R$ 94,90",+Plus
Barbacoa - Salvador,Carnes e Grelhados,,Caminho das Árvores,,"R$ 115,00",Premium
Ferreiro Café - Salvador Shopping,Contemporânea, Internacional,,"R$ 73,90","R$ 94,90",+Plus
Gattai - Salvador Shopping,Japonesa,,,"R$ 73,90","R$ 94,90",+Plus
Azougue Carnes na Brasa - Salvador Shopping,Carnes e Grelhados,,Caminho das Árvores,,"R$ 115,00",Premium
Martim Pescador - Shopping da Bahia,Frutos do mar,,Caminho das Árvores,"R$ 73,90",,+Plus
Seven Wonders Café - Mundo Plaza,,,Caminho das Árvores,"R$ 59,90",,RW
Seven Wonders Café - Salvador Shopping,,,Caminho das Árvores,"R$ 59,90",,RW
Seven Wonders Café - Shopping da Bahia,,,Caminho das Árvores,"R$ 59,90",,RW
Bistro Casa Tua,,,Caminho das Árvores,"R$ 95,00",,Premium
33 Contemporâneo,Contemporânea,,,"R$ 95,00","R$ 115,00",Premium
Pereira Café - Shopping da Bahia,Contemporânea,,Caminho das Árvores,"R$ 59,90",,RW
Zuuk Sushi,Oriental, Tradicional,Caminho das Árvores,"R$ 95,00","R$ 115,00",Premium
Le Vin - Mercure Boulevard,Contemporânea,,Caminho das Árvores,"R$ 73,90","R$ 94,90",+Plus
Lotti Osteria,Italiana,,Caminho das Árvores,,"R$ 115,00",Premium
YAYA,Hamburgueria, Lanches,,"R$ 95,00","R$ 115,00",Premium
Mamma Jamma - Shopping da Bahia,,,Caminho das Árvores,"R$ 73,90",,+Plus
Seven Wonders Café - Suarez Trade,,,Caminho das Árvores,"R$ 59,90",,RW
Azougue - Salvador Norte Shopping,,,,,"R$ 94,90",+Plus
33 Contemporâneo,Contemporânea,,,"R$ 95,00","R$ 115,00",Premium
Pereira Café - Shopping da Bahia,Contemporânea,,Caminho das Árvores,"R$ 59,90",,RW
Zuuk Sushi,Oriental, Tradicional,Caminho das Árvores,"R$ 95,00","R$ 115,00",Premium
Le Vin - Mercure Boulevard,Contemporânea,,Caminho das Árvores,"R$ 73,90","R$ 94,90",+Plus
Lotti Osteria,Italiana,,Caminho das Árvores,,"R$ 115,00",Premium
YAYA,Hamburgueria, Lanches,,"R$ 95,00","R$ 115,00",Premium
Mamma Jamma - Shopping da Bahia,,,Caminho das Árvores,"R$ 73,90",,+Plus
Seven Wonders Café - Suarez Trade,,,Caminho das Árvores,"R$ 59,90",,RW
Azougue - Salvador Norte Shopping,,,,,"R$ 94,90",+Plus
33 Contemporâneo,Contemporânea,,,"R$ 95,00","R$ 115,00",Premium
Pereira Café - Shopping da Bahia,Contemporânea,,Caminho das Árvores,"R$ 59,90",,RW
Zuuk Sushi,Oriental, Tradicional,Caminho das Árvores,"R$ 95,00","R$ 115,00",Premium
Le Vin - Mercure Boulevard,Contemporânea,,Caminho das Árvores,"R$ 73,90","R$ 94,90",+Plus
Lotti Osteria,Italiana,,Caminho das Árvores,,"R$ 115,00",Premium
YAYA,Hamburgueria, Lanches,,"R$ 95,00","R$ 115,00",Premium
Mamma Jamma - Shopping da Bahia,,,Caminho das Árvores,"R$ 73,90",,+Plus
Seven Wonders Café - Suarez Trade,,,Caminho das Árvores,"R$ 59,90",,RW
Azougue - Salvador Norte Shopping,,,,,"R$ 94,90",+Plus
Mamma Jamma - Shopping Barra,Pizzaria,,Barra,"R$ 73,90",,+Plus
Barravento,Mediterrânea, Baiana,Barra,"R$ 73,90","R$ 94,90",+Plus
Alfredo Ro,Italiana,,Barra,"R$ 95,00","R$ 115,00",Premium
Sette Restaurante,Contemporânea,,Barra,"R$ 73,90","R$ 94,90",+Plus
Baby Beef Sport Bar,Carnes e Grelhados,,"Santiago de Compostela, S/N Brotas","R$ 73,90",,+Plus
138 THE BAR,Contemporânea, Regional,do The Hotel Barra,"R$ 95,00","R$ 115,00",Premium
Sagratto Café Bar,,,Bonfim,"R$ 73,90",,+Plus
Santiago Culinária Ibérica - Shopping Barra,Contemporânea, Ibérica,Barra,"R$ 73,90","R$ 94,90",+Plus
Healthy por victoria cintra,Saudável,,Caminho das Árvores,"R$ 95,00","R$ 115,00",Premium
33 Contemporâneo,Contemporânea,,,"R$ 95,00","R$ 115,00",Premium
Pereira Café - Shopping da Bahia,Contemporânea,,Caminho das Árvores,"R$ 59,90",,RW
Zuuk Sushi,Oriental, Tradicional,Caminho das Árvores,"R$ 95,00","R$ 115,00",Premium
Le Vin - Mercure Boulevard,Contemporânea,,Caminho das Árvores,"R$ 73,90","R$ 94,90",+Plus
Lotti Osteria,Italiana,,Caminho das Árvores,,"R$ 115,00",Premium
YAYA,Hamburgueria, Lanches,,"R$ 95,00","R$ 115,00",Premium
Mamma Jamma - Shopping da Bahia,,,Caminho das Árvores,"R$ 73,90",,+Plus
Seven Wonders Café - Suarez Trade,,,Caminho das Árvores,"R$ 59,90",,RW
Azougue - Salvador Norte Shopping,,,,,"R$ 94,90",+Plus
Mamma Jamma - Shopping Barra,Pizzaria,,Barra,"R$ 73,90",,+Plus
Barravento,Mediterrânea, Baiana,Barra,"R$ 73,90","R$ 94,90",+Plus
Alfredo Ro,Italiana,,Barra,"R$ 95,00","R$ 115,00",Premium
Sette Restaurante,Contemporânea,,Barra,"R$ 73,90","R$ 94,90",+Plus
Baby Beef Sport Bar,Carnes e Grelhados,,"Santiago de Compostela, S/N Brotas","R$ 73,90",,+Plus
138 THE BAR,Contemporânea, Regional,do The Hotel Barra,"R$ 95,00","R$ 115,00",Premium
Sagratto Café Bar,,,Bonfim,"R$ 73,90",,+Plus
Santiago Culinária Ibérica - Shopping Barra,Contemporânea, Ibérica,Barra,"R$ 73,90","R$ 94,90",+Plus
Healthy por victoria cintra,Saudável,,Caminho das Árvores,"R$ 95,00","R$ 115,00",Premium
Mamma Jamma - Shopping Barra,Pizzaria,,Barra,"R$ 73,90",,+Plus
Barravento,Mediterrânea, Baiana,Barra,"R$ 73,90","R$ 94,90",+Plus
Alfredo Ro,Italiana,,Barra,"R$ 95,00","R$ 115,00",Premium
Sette Restaurante,Contemporânea,,Barra,"R$ 73,90","R$ 94,90",+Plus
Baby Beef Sport Bar,Carnes e Grelhados,,"Santiago de Compostela, S/N Brotas","R$ 73,90",,+Plus
138 THE BAR,Contemporânea, Regional,do The Hotel Barra,"R$ 95,00","R$ 115,00",Premium
Sagratto Café Bar,,,Bonfim,"R$ 73,90",,+Plus
Santiago Culinária Ibérica - Shopping Barra,Contemporânea, Ibérica,Barra,"R$ 73,90","R$ 94,90",+Plus
Healthy por victoria cintra,Saudável,,Caminho das Árvores,"R$ 95,00","R$ 115,00",Premium
La Pulperia - Brotas,Argentina, Parrilla,Acupe de Brotas,,"R$ 115,00",Premium
Pereira Restaurante - Porto da Barra,Contemporânea,,Barra,"R$ 95,00","R$ 115,00",Premium
Pasta em Casa - Alphaville,Italiana,,Alphaville I,"R$ 95,00","R$ 115,00",Premium
Cantina Volpi - Paralela,Italiana,,Alphaville I,"R$ 73,90",,+Plus
Seven Wonders Café - Spot Barra,,,Barra,"R$ 59,90",,RW
Healthy POR VC,,,Barra,"R$ 95,00","R$ 115,00",Premium
